Rank,Link,Year,Title,Directed by,Produced by,Starring,Music by,Edited by,Distributed by,Release date,Running Time(int),Language,Budget,Box office,Gross
1,https://en.wikipedia.org/wiki/Avengers:_Endgame,2019,Avengers: Endgame,"['Anthony Russo', 'Joe Russo']",Kevin Feige,"['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo', 'Chris Hemsworth', 'Scarlett Johansson', 'Jeremy Renner', 'Don Cheadle', 'Paul Rudd', 'Brie Larson', 'Karen Gillan', 'Danai Gurira', 'Benedict Wong', 'Jon Favreau', 'Bradley Cooper', 'Gwyneth Paltrow', 'Josh Brolin']",Alan Silvestri,"['Jeffrey Ford', 'Matthew Schmidt']",Walt Disney Studios Motion Pictures,"['April 22, 2019 ( 2019-04-22 ) ( Los Angeles Convention Center )', 'April 26, 2019 ( 2019-04-26 ) (United States)']",181,English,$356 million,$2.798 billion,2797800564
2,https://en.wikipedia.org/wiki/Avatar_(2009_film),2009,Avatar,James Cameron,"['James Cameron', 'Jon Landau']","['Sam Worthington', 'Zoe Saldana', 'Stephen Lang', 'Michelle Rodriguez', 'Sigourney Weaver']",James Horner,"['Stephen Rivkin', 'John Refoua', 'James Cameron']",20th Century Fox,"['December 10, 2009 ( 2009-12-10 ) (London)', 'December 18, 2009 ( 2009-12-18 ) (United States)']",162,English,$237 million  $9 million+ (re-release),$2.79 billion,2790439000
3,https://en.wikipedia.org/wiki/Titanic_(1997_film),1997,Titanic,James Cameron,"['James Cameron', 'Jon Landau']","['Leonardo DiCaprio', 'Kate Winslet', 'Billy Zane', 'Kathy Bates', 'Frances Fisher', 'Bernard Hill', 'Jonathan Hyde', 'Danny Nucci', 'David Warner', 'Bill Paxton']",James Horner,"['Conrad Buff', 'James Cameron', 'Richard A. Harris']","['Paramount Pictures (North America)', '20th Century Fox (International)']","['November 1, 1997 ( 1997-11-01 ) ( Tokyo )', 'December 19, 1997 ( 1997-12-19 ) (United States)']",195,English,$200 million,$2.195 billion,2194439542
4,https://en.wikipedia.org/wiki/Star_Wars:_The_Force_Awakens,2015,Star Wars: The Force Awakens,J. J. Abrams,"['Kathleen Kennedy', 'J. J. Abrams', 'Bryan Burk']","['Harrison Ford', 'Mark Hamill', 'Carrie Fisher', 'Adam Driver', 'Daisy Ridley', 'John Boyega', 'Oscar Isaac', ""Lupita Nyong'o"", 'Andy Serkis', 'Domhnall Gleeson', 'Anthony Daniels', 'Peter Mayhew', 'Max von Sydow']",John Williams,"['Mary Jo Markey', 'Maryann Brandon']",Walt Disney Studios Motion Pictures,"['December 14, 2015 ( 2015-12-14 ) (Los Angeles)', 'December 18, 2015 ( 2015-12-18 ) (United States)']",135,English,['$306 million [2] [3]'],$2.068 billion,2068223624
5,https://en.wikipedia.org/wiki/Avengers:_Infinity_War,2018,Avengers: Infinity War,"['Anthony Russo', 'Joe Russo']",Kevin Feige,"['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo', 'Chris Evans', 'Scarlett Johansson', 'Benedict Cumberbatch', 'Don Cheadle', 'Tom Holland', 'Chadwick Boseman', 'Paul Bettany', 'Elizabeth Olsen', 'Anthony Mackie', 'Sebastian Stan', 'Danai Gurira', 'Letitia Wright', 'Dave Bautista', 'Zoe Saldana', 'Josh Brolin', 'Chris Pratt']",Alan Silvestri,"['Jeffrey Ford', 'Matthew Schmidt']",Walt Disney Studios Motion Pictures,"['April 23, 2018 ( 2018-04-23 ) ( Dolby Theatre )', 'April 27, 2018 ( 2018-04-27 ) (United States)']",149,English,$325–400 million,$2.048 billion,2048359754
6,https://en.wikipedia.org/wiki/Jurassic_World,2015,Jurassic World,Colin Trevorrow,"['Frank Marshall', 'Patrick Crowley']","['Chris Pratt', 'Bryce Dallas Howard', ""Vincent D'Onofrio"", 'Ty Simpkins', 'Nick Robinson', 'Omar Sy', 'BD Wong', 'Irrfan Khan']",Michael Giacchino,Kevin Stitt,Universal Pictures,"['May 29, 2015 ( 2015-05-29 ) ( Le Grand Rex )', 'June 12, 2015 ( 2015-06-12 ) (United States)']",124,English,$150 million,$1.670 billion,1671713208
7,https://en.wikipedia.org/wiki/The_Lion_King_(2019_film),2019,The Lion King,Jon Favreau,"['Jon Favreau', 'Jeffrey Silver', 'Karen Gilchrist']","['Donald Glover', 'Seth Rogen', 'Chiwetel Ejiofor', 'Alfre Woodard', 'Billy Eichner', 'John Kani', 'John Oliver', 'Beyoncé Knowles-Carter', 'James Earl Jones']",Hans Zimmer,"['Mark Livolsi', 'Adam Gerstel']",Walt Disney Studios Motion Pictures,"['July 9, 2019 ( 2019-07-09 ) ( Hollywood )', 'July 19, 2019 ( 2019-07-19 ) (United States)']",118,English,$250–260 million,$1.657 billion,1656943394
8,https://en.wikipedia.org/wiki/The_Avengers_(2012_film),2012,The Avengers,Joss Whedon,Kevin Feige,"['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo', 'Chris Hemsworth', 'Scarlett Johansson', 'Jeremy Renner', 'Tom Hiddleston', 'Clark Gregg', 'Cobie Smulders', 'Stellan Skarsgård', 'Samuel L. Jackson']",Alan Silvestri,"['Jeffrey Ford', 'Lisa Lassek']",Walt Disney Studios Motion Pictures,"['April 11, 2012 ( 2012-04-11 ) ( El Capitan Theatre )', 'May 4, 2012 ( 2012-05-04 ) (United States)']",143,English,$220 million,$1.519 billion,1518812988
9,https://en.wikipedia.org/wiki/Furious_7,2015,Furious 7,James Wan,"['Neal H. Moritz', 'Vin Diesel', 'Michael Fottrell']","['Vin Diesel', 'Paul Walker', 'Dwayne Johnson', 'Michelle Rodriguez', 'Tyrese Gibson', 'Chris “Ludacris” Bridges', 'Jordana Brewster', 'Djimon Hounsou', 'Nathalie Emmanuel', 'Kurt Russell', 'Jason Statham', 'Iggy Azalea', 'Romeo Santos']",Brian Tyler,"['Christian Wagner', 'Dylan Highsmith', 'Kirk Morri', 'Leigh Folsom Boyd']",Universal Pictures,"['April 1, 2015 ( 2015-04-01 ) ( TCL Chinese Theatre )', 'April 3, 2015 ( 2015-04-03 ) (United States)']",137,English,$190–250 million,$1.516 billion,1516045911
10,https://en.wikipedia.org/wiki/Frozen_II,2019,Frozen II,"['Chris Buck', 'Jennifer Lee']",Peter Del Vecho,"['Kristen Bell', 'Idina Menzel', 'Josh Gad', 'Jonathan Groff']","['Christophe Beck (score) [3]', 'Robert Lopez (songs)', 'Kristen Anderson-Lopez (songs)']",Jeff Draheim,Walt Disney Studios Motion Pictures,"['November 7, 2019 ( 2019-11-07 ) ( Dolby Theatre )', 'November 22, 2019 ( 2019-11-22 ) (United States)']",103,English,$150 million,$1.450 billion,1450026933
