title,Directed by,Produced by,Screenplay by,Based on,Starring,Music by,Cinematography,Edited by,Production company,Distributed by,Release date,Running time,Country,Language,Budget,Box office,Production companies,Languages,Countries,Story by,Written by,Created by,Original work,Owned by,Narration by,Narrated by,Color process,Years,Suggested by
The Shawshank Redemption,Frank Darabont,Niki Marvin,Frank Darabont,Rita Hayworth and Shawshank Redemption by Stephen King,"['Tim Robbins', 'Morgan Freeman', 'Bob Gunton', 'William Sadler', 'Clancy Brown', 'Gil Bellows', 'James Whitmore']",Thomas Newman,Roger Deakins,Richard Francis-Bruce,Castle Rock Entertainment,Columbia Pictures,"['September 10, 1994 ( 1994-09-10 ) ( TIFF )', 'September 23, 1994 ( 1994-09-23 ) (United States)']",142 minutes,United States,English,$25 million,$58.3 million,,,,,,,,,,,,,
The Godfather,Francis Ford Coppola,Albert S. Ruddy,"['Mario Puzo', 'Francis Ford Coppola']",The Godfather by Mario Puzo,"['Marlon Brando', 'Al Pacino', 'James Caan', 'Richard Castellano', 'Robert Duvall', 'Sterling Hayden', 'John Marley', 'Richard Conte', 'Diane Keaton']",Nino Rota,Gordon Willis,"['William Reynolds', 'Peter Zinner']",Castle Rock Entertainment,Paramount Pictures,"[""March 14, 1972 ( 1972-03-14 ) ( Loew's State Theatre )"", 'March 24, 1972 ( 1972-03-24 ) (United States)']",177 minutes,United States,English,$6–7.2 million,$246–287 million,"['Paramount Pictures', 'Alfran Productions']",,,,,,,,,,,,
The Godfather Part II,Francis Ford Coppola,Francis Ford Coppola,"['Francis Ford Coppola', 'Mario Puzo']",The Godfather by Mario Puzo,"['Al Pacino', 'Robert Duvall', 'Diane Keaton', 'Robert De Niro', 'Talia Shire', 'Morgana King', 'John Cazale', 'Mariana Hill', 'Lee Strasberg']",Nino Rota,Gordon Willis,"['Peter Zinner', 'Barry Malkin', 'Richard Marks']",Castle Rock Entertainment,Paramount Pictures,"['December 12, 1974 ( 1974-12-12 ) (New York City)', 'December 20, 1974 ( 1974-12-20 ) (United States)']",200 minutes,United States,English,$13 million,$48–88 million,"['Paramount Pictures', 'The Coppola Company']","['English', 'Sicilian']",,,,,,,,,,,
Schindler's List,Steven Spielberg,"['Steven Spielberg', 'Gerald R. Molen', 'Branko Lustig']",Steven Zaillian,Schindler's Ark by Thomas Keneally,"['Liam Neeson', 'Ben Kingsley', 'Ralph Fiennes', 'Caroline Goodall', 'Jonathan Sagall', 'Embeth Davidtz']",John Williams,Janusz Kamiński,Michael Kahn,Amblin Entertainment,Universal Pictures,"['November 30, 1993 ( 1993-11-30 ) ( Washington, D.C. )', 'December 15, 1993 ( 1993-12-15 ) (United States)']",195 minutes,United States,English,$22 million,$321.3 million,"['Paramount Pictures', 'The Coppola Company']","['English', 'Sicilian']",,,,,,,,,,,
The Lord of the Rings:The Return of the King,Peter Jackson,"['Barrie M. Osborne', 'Peter Jackson', 'Fran Walsh']","['Fran Walsh', 'Philippa Boyens', 'Peter Jackson']",The Return of the King by J. R. R. Tolkien,"['Elijah Wood', 'Ian McKellen', 'Liv Tyler', 'Viggo Mortensen', 'Sean Astin', 'Cate Blanchett', 'John Rhys-Davies', 'Bernard Hill', 'Billy Boyd', 'Dominic Monaghan', 'Orlando Bloom', 'Hugo Weaving', 'Miranda Otto', 'David Wenham', 'Karl Urban', 'John Noble', 'Andy Serkis', 'Ian Holm', 'Sean Bean']",Howard Shore,Andrew Lesnie,Jamie Selkirk,Amblin Entertainment,New Line Cinema,"['1 December 2003 ( 2003-12-01 ) ( Embassy Theatre )', '17 December 2003 ( 2003-12-17 ) (United States)', '18 December 2003 ( 2003-12-18 ) (New Zealand)']",201 minutes,United States,English,$94 million,$1.142 billion,"['New Line Cinema [1]', 'WingNut Films [1]']","['English', 'Sicilian']","['Germany [3]', 'New Zealand [1]', 'United States [1]']",,,,,,,,,,
Pulp Fiction,Quentin Tarantino,Lawrence Bender,"['Fran Walsh', 'Philippa Boyens', 'Peter Jackson']",The Return of the King by J. R. R. Tolkien,"['John Travolta', 'Samuel L. Jackson', 'Uma Thurman', 'Harvey Keitel', 'Tim Roth', 'Amanda Plummer', 'Maria de Medeiros', 'Ving Rhames', 'Eric Stoltz', 'Rosanna Arquette', 'Christopher Walken', 'Bruce Willis']",Howard Shore,Andrzej Sekuła,Sally Menke,Amblin Entertainment,Miramax Films,"['May 21, 1994 ( 1994-05-21 ) ( Cannes )', 'October 14, 1994 ( 1994-10-14 ) (United States)']",154 minutes,United States,English,$8–8.5 million,$213.9 million,"['A Band Apart', 'Jersey Films']","['English', 'Sicilian']","['Germany [3]', 'New Zealand [1]', 'United States [1]']","['Quentin Tarantino', 'Roger Avary']",Quentin Tarantino,,,,,,,,
"The Good, the Bad and the Ugly",Sergio Leone,Alberto Grimaldi,"['Age & Scarpelli', 'Luciano Vincenzoni', 'Sergio Leone']",The Return of the King by J. R. R. Tolkien,"['Clint Eastwood', 'Eli Wallach', 'Lee Van Cleef', 'Aldo Giuffrè', 'Antonio Casas', 'Rada Rassimov', 'Aldo Sambrel', 'Enzo Petito', 'Luigi Pistilli', 'Livio Lorenzon', 'Al Mulloch', 'Sergio Mendizábal', 'Molino Rojo', 'Lorenzo Robledo', 'Mario Brega']",Ennio Morricone,Tonino Delli Colli,"['Nino Baragli', 'Eugenio Alabiso']",Amblin Entertainment,"['Produzioni Europee Associate (Italy)', 'United Artists (US)']",['23 December 1966 ( 1966-12-23 )'],177 minutes,Italy,English,$1.2 million,$25.1 million,"['Produzioni Europee Associate [2] [3] [4]', 'United Artists [4]']","['English [8]', 'Italian [8]', 'Spanish [8]']","['Germany [3]', 'New Zealand [1]', 'United States [1]']","['Luciano Vincenzoni', 'Sergio Leone']",Quentin Tarantino,,,,,,,,
The Lord of the Rings:The Fellowship of the Ring,Peter Jackson,"['Barrie M. Osborne', 'Peter Jackson', 'Fran Walsh', 'Tim Sanders']","['Fran Walsh', 'Philippa Boyens', 'Peter Jackson']",The Fellowship of the Ring by J. R. R. Tolkien,"['Elijah Wood', 'Ian McKellen', 'Liv Tyler', 'Viggo Mortensen', 'Sean Astin', 'Cate Blanchett', 'John Rhys-Davies', 'Billy Boyd', 'Dominic Monaghan', 'Orlando Bloom', 'Christopher Lee', 'Hugo Weaving', 'Sean Bean', 'Ian Holm', 'Andy Serkis']",Howard Shore,Andrew Lesnie,John Gilbert,Amblin Entertainment,New Line Cinema,"['10 December 2001 ( 2001-12-10 ) ( Odeon Leicester Square )', '19 December 2001 ( 2001-12-19 ) (United States)', '20 December 2001 ( 2001-12-20 ) (New Zealand)']",178 minutes,Italy,English,$93 million,$888.3 million,"['New Line Cinema [1]', 'WingNut Films [1]']","['English [8]', 'Italian [8]', 'Spanish [8]']","['New Zealand [1]', 'United States [1]']","['Luciano Vincenzoni', 'Sergio Leone']",Quentin Tarantino,,,,,,,,
Forrest Gump,Robert Zemeckis,"['Wendy Finerman', 'Steve Tisch', 'Steve Starkey']",Eric Roth,Forrest Gump by Winston Groom,"['Tom Hanks', 'Robin Wright', 'Gary Sinise', 'Mykelti Williamson', 'Sally Field']",Alan Silvestri,Don Burgess,Arthur Schmidt,The Tisch Company,Paramount Pictures,"['June 23, 1994 ( 1994-06-23 ) ( Los Angeles )', 'July 6, 1994 ( 1994-07-06 ) (United States)']",142 minutes,United States,English,$55 million,$683.1 million,"['Fox 2000 Pictures', 'Regency Enterprises', 'New Regency [1]', 'Linson Films']","['English [8]', 'Italian [8]', 'Spanish [8]']","['New Zealand [1]', 'United States [1]']","['Luciano Vincenzoni', 'Sergio Leone']",Quentin Tarantino,,,,,,,,
Inception,Christopher Nolan,"['Emma Thomas', 'Christopher Nolan']",Eric Roth,Forrest Gump by Winston Groom,"['Leonardo DiCaprio', 'Ken Watanabe', 'Joseph Gordon-Levitt', 'Marion Cotillard', 'Elliot Page [a]', 'Tom Hardy', 'Cillian Murphy', 'Tom Berenger', 'Michael Caine']",Hans Zimmer,Wally Pfister,Lee Smith,The Tisch Company,Warner Bros. Pictures,"['July 8, 2010 ( 2010-07-08 ) ( Odeon Leicester Square )', 'July 16, 2010 ( 2010-07-16 ) (United States and United Kingdom)']",148 minutes,United States,English,$160 million,$836.8 million,"['Legendary Pictures', 'Syncopy']","['English [8]', 'Italian [8]', 'Spanish [8]']","['United States [2]', 'United Kingdom [2]']","['Luciano Vincenzoni', 'Sergio Leone']",Christopher Nolan,,,,,,,,
The Lord of the Rings:The Two Towers,Peter Jackson,"['Barrie M. Osborne', 'Fran Walsh', 'Peter Jackson']","['Fran Walsh', 'Philippa Boyens', 'Stephen Sinclair', 'Peter Jackson']",The Two Towers by J. R. R. Tolkien,"['Elijah Wood', 'Ian McKellen', 'Liv Tyler', 'Viggo Mortensen', 'Sean Astin', 'Cate Blanchett', 'John Rhys-Davies', 'Bernard Hill', 'Christopher Lee', 'Billy Boyd', 'Dominic Monaghan', 'Orlando Bloom', 'Hugo Weaving', 'Miranda Otto', 'David Wenham', 'Brad Dourif', 'Karl Urban', 'Andy Serkis']",Howard Shore,Andrew Lesnie,['Michael Horton'],The Tisch Company,New Line Cinema,"['5 December 2002 ( 2002-12-05 ) ( Ziegfeld Theatre )', '18 December 2002 ( 2002-12-18 ) (United States)', '19 December 2002 ( 2002-12-19 ) (New Zealand)']",179 minutes,United States,English,$94 million,$951.2 million,"['New Line Cinema [1]', 'WingNut Films [1]']","['English [8]', 'Italian [8]', 'Spanish [8]']","['New Zealand [1]', 'United States [1]']","['Luciano Vincenzoni', 'Sergio Leone']",Christopher Nolan,,,,,,,,
The Empire Strikes Back,Irvin Kershner,Gary Kurtz,"['Leigh Brackett', 'Lawrence Kasdan']",The Two Towers by J. R. R. Tolkien,"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher', 'Billy Dee Williams', 'Anthony Daniels', 'David Prowse', 'Kenny Baker', 'Peter Mayhew', 'Frank Oz']",John Williams,Peter Suschitzky,Paul Hirsch,Lucasfilm Ltd.,20th Century Fox,"['May 17, 1980 ( 1980-05-17 ) ( Kennedy Center )', 'May 21, 1980 ( 1980-05-21 ) (United States)']",124 minutes,United States,English,$33 million,$550.9 million,"['New Line Cinema [1]', 'WingNut Films [1]']","['English [8]', 'Italian [8]', 'Spanish [8]']","['New Zealand [1]', 'United States [1]']",George Lucas,Christopher Nolan,,,,,,,,
